Name	ORF	Link	Annotation	Growth Rate Slope	Bootstrapped p-value of slope	R^2	Growth Rate Response @1.5SD	ESR	Calibration gene?	Bootstrapped p-value of R^2	p-value of R^2	Growth Rate Baseline	Variability	Bootstrapped p-value of variability	Unresponsive?
YIL055C	YIL055C	YIL055C	biological process unknown || molecular function unknown || YIL055C || 1086869	-6.55	7.00E-05	0.50	down			0.00E+00	1.33E-06	1.59	0.66	9.88E-01	
STI1	YOR027W	YOR027W	protein folding || unfolded protein binding* || YOR027W || 1084174	-6.55	7.00E-05	0.56	down			0.00E+00	1.82E-07	1.69	0.57	9.36E-01	
PFK26	YIL107C	YIL107C	"fructose 2,6-bisphosphate metabolism* || 6-phosphofructo-2-kinase activity || YIL107C || 1086372"	-6.55	7.00E-05	0.77	down	up		0.00E+00	2.11E-12	1.37	0.54	8.83E-01	
RNY1	YPL123C	YPL123C	cellular morphogenesis || endoribonuclease activity || YPL123C || 1083255	-6.53	7.00E-05	0.57	down			0.00E+00	1.05E-07	2.32	0.63	9.75E-01	
PRM4	YPL156C	YPL156C	conjugation with cellular fusion || molecular function unknown || YPL156C || 1084436	-6.53	7.00E-05	0.46	down			0.00E+00	5.61E-06	1.41	0.67	9.88E-01	
MPC54	YOR177C	YOR177C	spore wall assembly (sensu Fungi) || structural molecule activity || YOR177C || 1084151	-6.52	7.00E-05	0.47	down			0.00E+00	3.82E-06	1.93	0.67	9.89E-01	
CDA1	YLR307W	YLR307W	spore wall assembly (sensu Fungi) || chitin deacetylase activity || YLR307W || 1084451	-6.51	7.00E-05	0.32	down			4.20E-04	3.08E-04	2.58	0.74	9.98E-01	
YJL142C	YJL142C	YJL142C	|| || YJL142C || 1084995	-6.46	7.00E-05	0.63	down	up		0.00E+00	7.16E-09	1.78	0.56	9.24E-01	
NCE103	YNL036W	YNL036W	response to oxidative stress || carbonate dehydratase activity || YNL036W || 1085773	-6.44	8.00E-05	0.35	down			2.00E-04	1.27E-04	1.65	0.77	9.99E-01	
MDH2	YOL126C	YOL126C	gluconeogenesis* || L-malate dehydrogenase activity || YOL126C || 1082223	-6.39	1.00E-04	0.14	down			3.52E-02	2.37E-02	1.85	1.19	1.00E+00	
COT1	YOR316C	YOR316C	"zinc ion homeostasis* || di-, tri-valent inorganic cation transporter activity* || YOR316C || 1084049"	-6.39	1.00E-04	0.27	down			1.76E-03	1.24E-03	1.57	0.83	1.00E+00	
YOR285W	YOR285W	YOR285W	biological process unknown || molecular function unknown || YOR285W || 1082199	-6.39	1.00E-04	0.59	down	up		0.00E+00	5.55E-08	1.34	0.55	9.08E-01	
STB2	YMR053C	YMR053C	histone deacetylation || transcriptional repressor activity || YMR053C || 1084300	-6.38	1.00E-04	0.78	down	up		0.00E+00	8.55E-13	1.78	0.54	8.81E-01	
BAP3	YDR046C	YDR046C	amino acid transport || amino acid transporter activity || YDR046C || 1085414	-6.36	1.00E-04	0.04	down			2.82E-01	2.32E-01	1.47	2.41	1.00E+00	
YMR090W	YMR090W	YMR090W	biological process unknown || molecular function unknown || YMR090W || 1082947	-6.33	1.00E-04	0.34	down	up		3.10E-04	1.90E-04	2.10	0.78	9.99E-01	
NTH1	YDR001C	YDR001C	"response to stress* || alpha,alpha-trehalase activity || YDR001C || 1080634"	-6.30	1.00E-04	0.73	down	up		0.00E+00	2.56E-11	1.77	0.49	7.47E-01	
YAT2	YER024W	YER024W	alcohol metabolism* || carnitine O-acetyltransferase activity || YER024W || 1084100	-6.26	1.20E-04	0.14	down			3.95E-02	2.68E-02	1.71	1.11	1.00E+00	
HSP82	YPL240C	YPL240C	"response to stress* || ATPase activity, coupled || YPL240C || 1081205"	-6.23	1.30E-04	0.62	down			0.00E+00	1.00E-08	1.75	0.55	9.08E-01	
ASP3-4	YLR160C	YLR160C	asparagine catabolism* || asparaginase activity || YLR160C || 1081586	-6.23	1.30E-04	0.13	down			4.40E-02	3.02E-02	1.92	1.13	1.00E+00	
YHR097C	YHR097C	YHR097C	biological process unknown || molecular function unknown || YHR097C || 1086803	-6.23	1.30E-04	0.43	down	up		3.00E-05	1.46E-05	1.83	0.63	9.77E-01	
SNA3	YJL151C	YJL151C	biological process unknown || molecular function unknown || YJL151C || 1084357	-6.21	1.40E-04	0.38	down			1.00E-04	6.30E-05	1.80	0.58	9.47E-01	
ASP3-3	YLR158C	YLR158C	asparagine catabolism* || asparaginase activity || YLR158C || 1086390	-6.21	1.40E-04	0.13	down			4.46E-02	3.09E-02	1.92	1.13	1.00E+00	
YHR087W	YHR087W	YHR087W	RNA metabolism || molecular function unknown || YHR087W || 1084697	-6.20	1.50E-04	0.40	down	up		5.00E-05	3.08E-05	2.21	0.65	9.86E-01	
PRY1	YJL079C	YJL079C	biological process unknown || molecular function unknown || YJL079C || 1084165	-6.18	1.50E-04	0.47	down			0.00E+00	3.57E-06	1.19	0.64	9.81E-01	
ASP3-1	YLR155C	YLR155C	asparagine catabolism* || asparaginase activity || YLR155C || 1084569	-6.18	1.50E-04	0.13	down			4.68E-02	3.24E-02	1.91	1.14	1.00E+00	
OLE1	YGL055W	YGL055W	mitochondrion inheritance* || stearoyl-CoA 9-desaturase activity || YGL055W || 1084114	-6.17	1.70E-04	0.58	down			0.00E+00	7.22E-08	1.60	0.55	8.97E-01	
UBX6	YJL048C	YJL048C	ubiquitin-dependent protein catabolism* || molecular function unknown || YJL048C || 1085578	-6.16	1.70E-04	0.63	down	up		0.00E+00	7.90E-09	1.86	0.53	8.63E-01	
ASP3-2	YLR157C	YLR157C	asparagine catabolism* || asparaginase activity || YLR157C || 1086847	-6.12	1.90E-04	0.13	down			4.66E-02	3.22E-02	1.87	1.13	1.00E+00	
YBR056W	YBR056W	YBR056W	biological process unknown || molecular function unknown || YBR056W || 1081306	-6.11	1.90E-04	0.72	down	up		0.00E+00	7.43E-11	1.90	0.52	8.43E-01	
SPG3	YDR504C	YDR504C	biological process unknown || molecular function unknown || YDR504C || 1085458	-6.07	2.10E-04	0.64	down			0.00E+00	4.22E-09	1.46	0.53	8.72E-01	
YOL083W	YOL083W	YOL083W	biological process unknown || molecular function unknown || YOL083W || 1081853	-6.04	2.20E-04	0.68	down	up		0.00E+00	6.09E-10	1.65	0.51	8.14E-01	
AAD10	YJR155W	YJR155W	aldehyde metabolism || aryl-alcohol dehydrogenase activity || YJR155W || 1082240	-6.04	2.20E-04	0.70	down			0.00E+00	1.94E-10	1.50	0.50	8.00E-01	
SNZ1	YMR096W	YMR096W	pyridoxine metabolism* || protein binding || YMR096W || 1084738	-6.02	2.20E-04	0.12	down			5.99E-02	4.23E-02	1.15	1.18	1.00E+00	
YJR096W	YJR096W	YJR096W	arabinose catabolism* || aldo-keto reductase activity* || YJR096W || 1081068	-6.02	2.20E-04	0.68	down	up		0.00E+00	8.09E-10	1.84	0.50	7.81E-01	
YNL195C	YNL195C	YNL195C	biological process unknown || molecular function unknown || YNL195C || 1083393	-6.01	2.30E-04	0.56	down	up		0.00E+00	1.87E-07	1.72	0.57	9.29E-01	
YOL153C	YOL153C	YOL153C	biological process unknown || molecular function unknown || YOL153C || 1080775	-5.99	2.40E-04	0.49	down	up		0.00E+00	2.14E-06	1.66	0.56	9.11E-01	
FIT3	YOR383C	YOR383C	siderophore transport || molecular function unknown || YOR383C || 1083304	-5.99	2.40E-04	0.05	down			2.15E-01	1.70E-01	-0.11	1.89	1.00E+00	
YLR267W	YLR267W	YLR267W	biological process unknown || molecular function unknown || YLR267W || 1082494	-5.98	2.40E-04	0.26	down	up		2.22E-03	1.51E-03	1.66	0.75	9.98E-01	
DUR3	YHL016C	YHL016C	urea transport || urea transporter activity || YHL016C || 1083626	-5.96	2.60E-04	0.11	down			6.86E-02	4.87E-02	1.77	1.20	1.00E+00	
TPO4	YOR273C	YOR273C	polyamine transport || spermine transporter activity* || YOR273C || 1082132	-5.93	2.70E-04	0.39	down			1.00E-04	4.67E-05	1.68	0.67	9.90E-01	
CTA1	YDR256C	YDR256C	oxygen and reactive oxygen species metabolism || catalase activity || YDR256C || 1081862	-5.91	3.00E-04	0.05	down			2.19E-01	1.74E-01	0.94	1.40	1.00E+00	
YLR345W	YLR345W	YLR345W	biological process unknown || molecular function unknown || YLR345W || 1084714	-5.87	3.50E-04	0.72	down	up		0.00E+00	6.86E-11	1.55	0.51	8.31E-01	
SDP1	YIL113W	YIL113W	MAPKKK cascade during cell wall biogenesis || MAP kinase phosphatase activity || YIL113W || 1082251	-5.86	3.50E-04	0.41	down	up		5.00E-05	2.53E-05	2.33	0.65	9.85E-01	
FUN19	YAL034C	YAL034C	biological process unknown || molecular function unknown || YAL034C || 1081181	-5.86	3.50E-04	0.50	down			0.00E+00	1.46E-06	1.72	0.54	8.77E-01	
FOX2	YKR009C	YKR009C	fatty acid beta-oxidation || 3-hydroxyacyl-CoA dehydrogenase activity* || YKR009C || 1082997	-5.82	3.60E-04	0.25	down	up		2.70E-03	1.82E-03	1.37	0.67	9.89E-01	
PCA1	YBR295W	YBR295W	"iron ion homeostasis* || ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism || YBR295W || 1082274"	-5.82	3.60E-04	0.32	down			4.20E-04	3.06E-04	1.92	0.68	9.91E-01	
YPL230W	YPL230W	YPL230W	biological process unknown || molecular function unknown || YPL230W || 1085008	-5.82	3.60E-04	0.26	down	up		1.91E-03	1.32E-03	1.51	0.78	9.99E-01	
YKR049C	YKR049C	YKR049C	biological process unknown || molecular function unknown || YKR049C || 1080838	-5.80	3.70E-04	0.64	down	up		0.00E+00	4.60E-09	1.54	0.47	6.65E-01	
YMR085W	YMR085W	YMR085W	biological process unknown || molecular function unknown || YMR085W || 1083726	-5.79	3.70E-04	0.51	down			0.00E+00	1.11E-06	1.72	0.57	9.30E-01	
TOS8	YGL096W	YGL096W	G1/S-specific transcription in mitotic cell cycle || transcription factor activity || YGL096W || 1085186	-5.77	4.00E-04	0.39	down	up		1.00E-04	4.67E-05	1.08	0.62	9.74E-01	
COS3	YML132W	YML132W	sodium ion homeostasis || protein binding || YML132W || 1083503	-5.75	4.10E-04	0.49	down			0.00E+00	2.16E-06	1.48	0.54	8.87E-01	
GYP7	YDL234C	YDL234C	vesicle-mediated transport || Rab GTPase activator activity || YDL234C || 1081912	-5.75	4.10E-04	0.48	down			0.00E+00	2.49E-06	1.24	0.59	9.52E-01	
SPI1	YER150W	YER150W	biological process unknown || molecular function unknown || YER150W || 1084679	-5.74	4.10E-04	0.33	down	up		3.40E-04	2.45E-04	1.63	0.68	9.91E-01	
YHR209W	YHR209W	YHR209W	biological process unknown || S-adenosylmethionine-dependent methyltransferase activity || YHR209W || 1082788	-5.73	4.10E-04	0.40	down			6.00E-05	3.77E-05	1.86	0.61	9.66E-01	
YMR31	YFR049W	YFR049W	protein biosynthesis || structural constituent of ribosome || YFR049W || 1081774	-5.72	4.10E-04	0.55	down			0.00E+00	2.45E-07	0.99	0.55	9.03E-01	
FRE3	YOR381W	YOR381W	iron ion homeostasis* || ferric-chelate reductase activity || YOR381W || 1086412	-5.72	4.10E-04	0.14	down			3.35E-02	2.24E-02	1.50	1.01	1.00E+00	
URA10	YMR271C	YMR271C	'de novo' pyrimidine base biosynthesis || orotate phosphoribosyltransferase activity || YMR271C || 1081751	-5.72	4.10E-04	0.64	down	up		0.00E+00	4.12E-09	1.85	0.49	7.69E-01	
ISF1	YMR081C	YMR081C	aerobic respiration || molecular function unknown || YMR081C || 1086434	-5.70	4.30E-04	0.29	down	up		1.08E-03	7.61E-04	0.58	0.78	9.99E-01	
YJR061W	YJR061W	YJR061W	biological process unknown || molecular function unknown || YJR061W || 1082174	-5.68	4.40E-04	0.64	down			0.00E+00	4.13E-09	1.41	0.44	5.60E-01	
RHO5	YNL180C	YNL180C	Rho protein signal transduction || GTPase activity || YNL180C || 1081575	-5.68	4.50E-04	0.43	down			3.00E-05	1.43E-05	1.27	0.62	9.71E-01	
YPK2	YMR104C	YMR104C	protein amino acid phosphorylation || protein kinase activity || YMR104C || 1084189	-5.67	4.50E-04	0.31	down			6.60E-04	4.73E-04	1.02	0.75	9.98E-01	
SPO1	YNL012W	YNL012W	meiosis || phospholipase activity || YNL012W || 1080764	-5.65	4.50E-04	0.72	down			0.00E+00	6.84E-11	1.66	0.48	7.12E-01	
OSW2	YLR054C	YLR054C	spore wall assembly (sensu Fungi) || molecular function unknown || YLR054C || 1082136	-5.65	4.60E-04	0.39	down			1.00E-04	4.40E-05	2.04	0.65	9.85E-01	
YLL059C	YLL059C	YLL059C	|| || YLL059C || 1086779	-5.64	4.60E-04	0.32	down			5.00E-04	3.52E-04	1.60	0.69	9.93E-01	
ADR1	YDR216W	YDR216W	transcription* || transcription factor activity || YDR216W || 1083895	-5.64	4.60E-04	0.27	down			1.68E-03	1.19E-03	0.52	0.77	9.99E-01	
TPO2	YGR138C	YGR138C	polyamine transport || spermine transporter activity || YGR138C || 1086653	-5.63	4.70E-04	0.13	down			4.37E-02	2.99E-02	3.20	1.12	1.00E+00	
YMR040W	YMR040W	YMR040W	biological process unknown || molecular function unknown || YMR040W || 1086639	-5.62	4.70E-04	0.55	down			0.00E+00	2.02E-07	1.28	0.50	7.90E-01	
YOR215C	YOR215C	YOR215C	biological process unknown || molecular function unknown || YOR215C || 1086032	-5.60	4.80E-04	0.70	down			0.00E+00	1.61E-10	1.44	0.46	6.23E-01	
GLK1	YCL040W	YCL040W	glucose metabolism* || glucokinase activity || YCL040W || 1085797	-5.58	4.80E-04	0.35	down	up		2.30E-04	1.38E-04	0.64	0.62	9.71E-01	
YMR103C	YMR103C	YMR103C	|| || YMR103C || 1086765	-5.57	4.80E-04	0.31	down			6.40E-04	4.66E-04	0.79	0.71	9.96E-01	
GDB1	YPR184W	YPR184W	glycogen catabolism || 4-alpha-glucanotransferase activity* || YPR184W || 1083458	-5.57	4.80E-04	0.59	down	up		0.00E+00	3.94E-08	1.31	0.49	7.70E-01	
ATH1	YPR026W	YPR026W	"response to stress* || alpha,alpha-trehalase activity || YPR026W || 1086786"	-5.56	4.90E-04	0.65	down	up		0.00E+00	2.87E-09	1.17	0.51	8.11E-01	
MRP8	YKL142W	YKL142W	protein biosynthesis || structural constituent of ribosome || YKL142W || 1083214	-5.54	5.00E-04	0.75	down	up		0.00E+00	1.19E-11	1.75	0.46	6.49E-01	
PUT4	YOR348C	YOR348C	proline catabolism* || L-proline permease activity* || YOR348C || 1084032	-5.54	5.00E-04	0.07	down			1.60E-01	1.23E-01	1.26	1.41	1.00E+00	
YHR095W	YHR095W	YHR095W	|| || YHR095W || 1082713	-5.53	5.00E-04	0.28	down			1.21E-03	8.85E-04	1.21	0.70	9.95E-01	
ALD3	YMR169C	YMR169C	response to stress* || aldehyde dehydrogenase activity || YMR169C || 1084975	-5.53	5.00E-04	0.48	down	up		0.00E+00	2.73E-06	1.68	0.52	8.48E-01	
BSC2	YDR275W	YDR275W	biological process unknown || molecular function unknown || YDR275W || 1085007	-5.50	5.20E-04	0.76	down			0.00E+00	5.02E-12	1.73	0.45	5.97E-01	
YGR053C	YGR053C	YGR053C	biological process unknown || molecular function unknown || YGR053C || 1082170	-5.50	5.20E-04	0.66	down			0.00E+00	1.62E-09	1.18	0.48	7.08E-01	
SKS1	YPL026C	YPL026C	protein amino acid phosphorylation* || protein serine/threonine kinase activity || YPL026C || 1081701	-5.49	5.20E-04	0.46	down			0.00E+00	6.18E-06	1.39	0.56	9.17E-01	
ENA2	YDR039C	YDR039C	"sodium ion transport || ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism || YDR039C || 1084745"	-5.48	5.30E-04	0.15	down			3.15E-02	2.10E-02	1.58	1.00	1.00E+00	
DIA1	YMR316W	YMR316W	pseudohyphal growth* || molecular function unknown || YMR316W || 1080684	-5.47	5.30E-04	0.29	down			9.50E-04	6.45E-04	1.79	0.75	9.98E-01	
KTR2	YKR061W	YKR061W	protein amino acid N-linked glycosylation* || mannosyltransferase activity || YKR061W || 1081081	-5.46	5.50E-04	0.49	down			0.00E+00	1.93E-06	1.65	0.48	7.09E-01	
YGR250C	YGR250C	YGR250C	biological process unknown || RNA binding || YGR250C || 1084144	-5.45	5.50E-04	0.62	down	up		0.00E+00	1.07E-08	1.24	0.50	7.96E-01	
EMP46	YLR080W	YLR080W	ER to Golgi transport || molecular function unknown || YLR080W || 1081837	-5.44	5.50E-04	0.63	down	up		0.00E+00	8.15E-09	1.47	0.49	7.65E-01	
SOD2	YHR008C	YHR008C	replicative cell aging* || manganese superoxide dismutase activity || YHR008C || 1085112	-5.44	5.70E-04	0.43	down			3.00E-05	1.47E-05	0.50	0.60	9.56E-01	
COS2	YBR302C	YBR302C	biological process unknown || molecular function unknown || YBR302C || 1085055	-5.41	5.70E-04	0.45	down			0.00E+00	7.01E-06	1.36	0.51	8.13E-01	
MDH3	YDL078C	YDL078C	fatty acid beta-oxidation* || L-malate dehydrogenase activity || YDL078C || 1081662	-5.40	6.00E-04	0.55	down			0.00E+00	1.95E-07	1.12	0.52	8.36E-01	
DDR48	YMR173W	YMR173W	DNA repair || ATPase activity* || YMR173W || 1082191	-5.38	6.50E-04	0.41	down	up		4.00E-05	2.48E-05	2.23	0.54	8.87E-01	
ECM4	YKR076W	YKR076W	cell wall organization and biogenesis || molecular function unknown || YKR076W || 1081064	-5.37	6.50E-04	0.70	down	up		0.00E+00	1.75E-10	0.98	0.46	6.45E-01	
ACC1	YNR016C	YNR016C	protein-nucleus import* || acetyl-CoA carboxylase activity* || YNR016C || 1081971	-5.36	6.60E-04	0.37	down			1.40E-04	7.49E-05	1.26	0.65	9.83E-01	
TPS2	YDR074W	YDR074W	response to stress* || trehalose-phosphatase activity || YDR074W || 1086331	-5.35	6.80E-04	0.63	down	up		0.00E+00	9.26E-09	1.64	0.47	6.95E-01	
SDH1	YKL148C	YKL148C	tricarboxylic acid cycle* || succinate dehydrogenase (ubiquinone) activity || YKL148C || 1081970	-5.34	6.80E-04	0.19	down			1.16E-02	7.60E-03	0.29	0.83	1.00E+00	
PMP3	YDR276C	YDR276C	cation transport || molecular function unknown || YDR276C || 1082885	-5.31	7.70E-04	0.37	down			1.40E-04	8.66E-05	1.70	0.60	9.56E-01	
PNC1	YGL037C	YGL037C	chromatin silencing at telomere* || nicotinamidase activity || YGL037C || 1083267	-5.30	7.70E-04	0.60	down	up		0.00E+00	2.92E-08	1.51	0.47	6.80E-01	
AAP1	Q0080	Q0080	"ATP synthesis coupled proton transport || hydrogen-transporting ATP synthase activity, rotational mechanism || Q0080 || 1082721"	-5.28	8.10E-04	0.36	down			1.60E-04	1.08E-04	0.92	0.65	9.83E-01	
YOR289W	YOR289W	YOR289W	biological process unknown || molecular function unknown || YOR289W || 1083609	-5.28	8.10E-04	0.70	down	up		0.00E+00	2.52E-10	1.87	0.46	6.35E-01	
YGR154C	YGR154C	YGR154C	biological process unknown || molecular function unknown || YGR154C || 1081605	-5.27	8.10E-04	0.15	down			3.12E-02	2.07E-02	2.02	0.96	1.00E+00	
GAT2	YMR136W	YMR136W	transcription || transcription factor activity || YMR136W || 1084881	-5.27	8.20E-04	0.43	down	up		2.00E-05	1.37E-05	1.43	0.54	8.80E-01	
ATG1	YGL180W	YGL180W	autophagy || protein serine/threonine kinase activity || YGL180W || 1084429	-5.26	8.30E-04	0.45	down	up		0.00E+00	8.33E-06	1.22	0.54	8.89E-01	
YLR030W	YLR030W	YLR030W	biological process unknown || molecular function unknown || YLR030W || 1083081	-5.26	8.40E-04	0.45	down			0.00E+00	6.83E-06	1.94	0.53	8.57E-01	
YLL020C	YLL020C	YLL020C	|| || YLL020C || 1081819	-5.25	8.60E-04	0.50	down	up		0.00E+00	1.50E-06	1.25	0.52	8.44E-01	
YFL054C	YFL054C	YFL054C	water transport || transporter activity* || YFL054C || 1084219	-5.24	8.70E-04	0.33	down			3.80E-04	2.65E-04	0.86	0.66	9.86E-01	
DIA3	YDL024C	YDL024C	pseudohyphal growth* || acid phosphatase activity || YDL024C || 1081492	-5.24	8.70E-04	0.33	down			3.30E-04	2.28E-04	1.61	0.63	9.77E-01	
FBP26	YJL155C	YJL155C	"glucose metabolism || fructose-2,6-bisphosphate 2-phosphatase activity* || YJL155C || 1085271"	-5.21	8.90E-04	0.73	down	up		0.00E+00	3.17E-11	1.38	0.43	5.19E-01	
THI4	YGR144W	YGR144W	mitochondrial genome maintenance* || molecular function unknown || YGR144W || 1082851	-5.20	9.10E-04	0.36	down			1.70E-04	1.18E-04	1.57	0.56	9.21E-01	
YJL225C	YJL225C	YJL225C	biological process unknown || helicase activity || YJL225C || 1085531	-5.20	9.20E-04	0.44	down			1.00E-05	1.08E-05	1.45	0.49	7.67E-01	
YMR052C-A	YMR052C-A	YMR052C-A	|| || YMR052C-A || 1081881	-5.19	9.70E-04	0.72	down			0.00E+00	6.31E-11	1.66	0.45	5.76E-01	
CAT2	YML042W	YML042W	carnitine metabolism || carnitine O-acetyltransferase activity || YML042W || 1082487	-5.17	1.00E-03	0.11	down	up		6.88E-02	4.89E-02	0.77	0.95	1.00E+00	
GCN4	YEL009C	YEL009C	regulation of transcription from RNA polymerase II promoter* || DNA binding* || YEL009C || 1085604	-5.15	1.05E-03	0.62	down			0.00E+00	1.06E-08	1.39	0.50	7.99E-01	
YJL163C	YJL163C	YJL163C	biological process unknown || molecular function unknown || YJL163C || 1081864	-5.13	1.11E-03	0.35	down	up		2.70E-04	1.62E-04	1.70	0.61	9.66E-01	
GAS4	YOL132W	YOL132W	"biological process unknown || 1,3-beta-glucanosyltransferase activity || YOL132W || 1086303"	-5.12	1.15E-03	0.45	down			0.00E+00	6.89E-06	1.35	0.48	7.18E-01	
MBF1	YOR298C-A	YOR298C-A	positive regulation of transcription from RNA polymerase II promoter || transcription coactivator activity || YOR298C-A || 1080690	-5.12	1.16E-03	0.54	down			0.00E+00	2.87E-07	1.41	0.47	6.85E-01	
YKL162C	YKL162C	YKL162C	biological process unknown || molecular function unknown || YKL162C || 1081918	-5.12	1.17E-03	0.57	down			0.00E+00	1.04E-07	1.50	0.44	5.47E-01	
GSY2	YLR258W	YLR258W	glycogen metabolism || glycogen (starch) synthase activity || YLR258W || 1084227	-5.12	1.17E-03	0.40	down	up		5.00E-05	3.39E-05	1.54	0.56	9.16E-01	
MET30	YIL046W	YIL046W	protein ubiquitination* || protein binding || YIL046W || 1084602	-5.10	1.22E-03	0.46	down			0.00E+00	5.00E-06	1.37	0.49	7.47E-01	
FYV10	YIL097W	YIL097W	negative regulation of gluconeogenesis || molecular function unknown || YIL097W || 1086244	-5.09	1.25E-03	0.65	down	up		0.00E+00	2.94E-09	1.48	0.45	5.85E-01	
BNS1	YGR230W	YGR230W	meiosis || molecular function unknown || YGR230W || 1083424	-5.08	1.25E-03	0.52	down			0.00E+00	7.93E-07	1.31	0.44	5.50E-01	
CRC1	YOR100C	YOR100C	fatty acid metabolism || carnitine:acyl carnitine antiporter activity || YOR100C || 1086807	-5.08	1.25E-03	0.09	down			1.11E-01	8.17E-02	0.52	1.05	1.00E+00	
GTT2	YLL060C	YLL060C	glutathione metabolism || glutathione transferase activity || YLL060C || 1086734	-5.07	1.26E-03	0.18	down			1.59E-02	1.04E-02	1.53	0.77	9.99E-01	
GIP2	YER054C	YER054C	protein amino acid dephosphorylation || protein phosphatase regulator activity || YER054C || 1082734	-5.06	1.30E-03	0.64	down			0.00E+00	4.86E-09	1.12	0.44	5.30E-01	
CMK2	YOL016C	YOL016C	protein amino acid phosphorylation* || calcium- and calmodulin-dependent protein kinase activity || YOL016C || 1085120	-5.06	1.32E-03	0.56	down			0.00E+00	1.88E-07	1.72	0.47	6.79E-01	
YGR110W	YGR110W	YGR110W	biological process unknown || molecular function unknown || YGR110W || 1085296	-5.06	1.32E-03	0.29	down			1.03E-03	7.11E-04	0.68	0.64	9.80E-01	
SED1	YDR077W	YDR077W	cell wall organization and biogenesis* || structural constituent of cell wall || YDR077W || 1086233	-5.05	1.35E-03	0.11	down			6.39E-02	4.51E-02	1.29	1.09	1.00E+00	
DBP1	YPL119C	YPL119C	translational initiation* || RNA helicase activity || YPL119C || 1081737	-5.03	1.40E-03	0.56	down			0.00E+00	1.29E-07	1.37	0.47	6.95E-01	
TRX2	YGR209C	YGR209C	ER to Golgi transport* || thiol-disulfide exchange intermediate activity || YGR209C || 1081141	-5.03	1.42E-03	0.55	down	up		0.00E+00	2.47E-07	1.75	0.50	7.84E-01	
YIL177C	YIL177C	YIL177C	biological process unknown || helicase activity || YIL177C || 1086027	-5.03	1.42E-03	0.43	down			3.00E-05	1.62E-05	1.42	0.48	7.26E-01	
YGR127W	YGR127W	YGR127W	biological process unknown || molecular function unknown || YGR127W || 1085966	-5.02	1.42E-03	0.49	down	up		0.00E+00	1.89E-06	1.48	0.49	7.62E-01	
