Entry	Status	Protein names	Organism	Length	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (KEGG)	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q6BKG0	reviewed	Endopolyphosphatase (EC 3.6.1.10)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	713	DEHA2F22264g	PPN1	dha:DEHA2F22264g;	integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]; endopolyphosphatase activity [GO:0000298]		integral component of membrane [GO:0016021]; vacuolar membrane [GO:0005774]	endopolyphosphatase activity [GO:0000298]
Q6BP45	reviewed	ATP-dependent RNA helicase ROK1 (EC 3.6.4.13)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	550	DEHA2E16632g	ROK1	dha:DEHA2E16632g;	nucleolus [GO:0005730]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; rRNA processing [GO:0006364]	rRNA processing [GO:0006364]	nucleolus [GO:0005730]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
Q6BIJ5	reviewed	37S ribosomal protein S9, mitochondrial	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	323	DEHA2G09878g	MRPS9	dha:DEHA2G09878g;	mitochondrial small ribosomal subunit [GO:0005763]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	mitochondrial small ribosomal subunit [GO:0005763]	structural constituent of ribosome [GO:0003735]
A9RAH0	reviewed	NADH-ubiquinone oxidoreductase chain 5 (EC 7.1.1.2) (NADH dehydrogenase subunit 5)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	592		ND5	dha:ND5;	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; ATP synthesis coupled electron transport [GO:0042773]	ATP synthesis coupled electron transport [GO:0042773]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]
Q6BYP7	reviewed	RNA polymerase II subunit A C-terminal domain phosphatase SSU72 (CTD phosphatase SSU72) (EC 3.1.3.16) (Suppressor of SUA7 protein 2 homolog)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	223	DEHA2A07854g	SSU72	dha:DEHA2A07854g;	chromatin [GO:0000785]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine phosphatase activity [GO:0004725]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]; dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; negative regulation of telomere maintenance via telomerase [GO:0032211]; positive regulation of telomere maintenance via semi-conservative replication [GO:0032215]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; regulation of heterochromatin island assembly [GO:1902801]; regulation of termination of RNA polymerase II transcription [GO:1904594]; sno(s)RNA transcription [GO:0009302]; termination of RNA polymerase II transcription, exosome-dependent [GO:0030847]; termination of RNA polymerase II transcription, poly(A)-coupled [GO:0030846]; transcription antitermination [GO:0031564]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]	dephosphorylation of RNA polymerase II C-terminal domain [GO:0070940]; negative regulation of telomere maintenance via telomerase [GO:0032211]; positive regulation of telomere maintenance via semi-conservative replication [GO:0032215]; pre-mRNA cleavage required for polyadenylation [GO:0098789]; regulation of heterochromatin island assembly [GO:1902801]; regulation of termination of RNA polymerase II transcription [GO:1904594]; sno(s)RNA transcription [GO:0009302]; termination of RNA polymerase II transcription, exosome-dependent [GO:0030847]; termination of RNA polymerase II transcription, poly(A)-coupled [GO:0030846]; transcriptional start site selection at RNA polymerase II promoter [GO:0001174]; transcription antitermination [GO:0031564]; transcription elongation from RNA polymerase II promoter [GO:0006368]	chromatin [GO:0000785]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]	protein serine phosphatase activity [GO:0106306]; protein threonine phosphatase activity [GO:0106307]; protein tyrosine phosphatase activity [GO:0004725]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]
Q6BVE0	reviewed	Pre-mRNA-splicing factor SYF2	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	231	DEHA2C03366g	SYF2	dha:DEHA2C03366g;	spliceosomal complex [GO:0005681]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	spliceosomal complex [GO:0005681]	
Q6BN23	reviewed	Mitochondrial import inner membrane translocase subunit TIM8	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	90	DEHA2F00836g	TIM8	dha:DEHA2F00836g;	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; metal ion binding [GO:0046872]; chaperone-mediated protein transport [GO:0072321]	chaperone-mediated protein transport [GO:0072321]	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]	metal ion binding [GO:0046872]
Q6BH37	reviewed	Mitochondrial import inner membrane translocase subunit TIM14 (Presequence translocated-associated motor subunit PAM18)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	172	DEHA2G21648g	PAM18	dha:DEHA2G21648g;	integral component of membrane [GO:0016021]; PAM complex, Tim23 associated import motor [GO:0001405]; ATPase activator activity [GO:0001671]; protein import into mitochondrial matrix [GO:0030150]	protein import into mitochondrial matrix [GO:0030150]	integral component of membrane [GO:0016021]; PAM complex, Tim23 associated import motor [GO:0001405]	ATPase activator activity [GO:0001671]
O42724	reviewed	Superoxide dismutase [Cu-Zn] 1 (EC 1.15.1.1)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	154	DEHA2G17732g	SOD1	dha:DEHA2G17732g;	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]; cellular copper ion homeostasis [GO:0006878]; cellular zinc ion homeostasis [GO:0006882]; fungal-type cell wall organization [GO:0031505]; negative regulation of cellular respiration [GO:1901856]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0036091]; protein stabilization [GO:0050821]	cellular copper ion homeostasis [GO:0006878]; cellular zinc ion homeostasis [GO:0006882]; fungal-type cell wall organization [GO:0031505]; negative regulation of cellular respiration [GO:1901856]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0036091]; protein stabilization [GO:0050821]	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; nucleus [GO:0005634]	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]
Q6BQK1	reviewed	3-ketodihydrosphingosine reductase TSC10 (EC 1.1.1.102) (3-dehydrosphinganine reductase) (KDS reductase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	328	DEHA2E04576g	TSC10	dha:DEHA2E04576g;	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]; 3-dehydrosphinganine reductase activity [GO:0047560]; 3-keto-sphinganine metabolic process [GO:0006666]; sphingolipid biosynthetic process [GO:0030148]	3-keto-sphinganine metabolic process [GO:0006666]; sphingolipid biosynthetic process [GO:0030148]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; lipid droplet [GO:0005811]	3-dehydrosphinganine reductase activity [GO:0047560]
Q6BJ61	reviewed	Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59) (Octapeptidyl aminopeptidase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	794	DEHA2G04928g	OCT1	dha:DEHA2G04928g;	mitochondrial matrix [GO:0005759]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; cellular iron ion homeostasis [GO:0006879]; protein processing involved in protein targeting to mitochondrion [GO:0006627]; protein stabilization [GO:0050821]	cellular iron ion homeostasis [GO:0006879]; protein processing involved in protein targeting to mitochondrion [GO:0006627]; protein stabilization [GO:0050821]	mitochondrial matrix [GO:0005759]	metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]
Q6BYI4	reviewed	Ribose-5-phosphate isomerase (EC 5.3.1.6) (D-ribose-5-phosphate ketol-isomerase) (Phosphoriboisomerase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	252	DEHA2A09328g	RKI1	dha:DEHA2A09328g;	cytoplasm [GO:0005737]; ribose-5-phosphate isomerase activity [GO:0004751]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]; pyridoxine biosynthetic process [GO:0008615]	pentose-phosphate shunt, non-oxidative branch [GO:0009052]; pyridoxine biosynthetic process [GO:0008615]	cytoplasm [GO:0005737]	ribose-5-phosphate isomerase activity [GO:0004751]
Q6BWS4	reviewed	Ribosome assembly protein 3	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	191	DEHA2B08954g	RSA3	dha:DEHA2B08954g;	nucleolus [GO:0005730]; ribosome biogenesis [GO:0042254]	ribosome biogenesis [GO:0042254]	nucleolus [GO:0005730]	
Q6BHN9	reviewed	Sorting nexin-41	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	670	DEHA2G17094g	SNX41	dha:DEHA2G17094g;	cytosol [GO:0005829]; endosome membrane [GO:0010008]; phosphatidylinositol binding [GO:0035091]; autophagy [GO:0006914]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]	autophagy [GO:0006914]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]	cytosol [GO:0005829]; endosome membrane [GO:0010008]	phosphatidylinositol binding [GO:0035091]
Q6BM53	reviewed	60S ribosomal protein L17	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	185	DEHA2F08228g	RPL17	dha:DEHA2F08228g;	large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	large ribosomal subunit [GO:0015934]	structural constituent of ribosome [GO:0003735]
Q6BRY1	reviewed	tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.211)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	594	DEHA2D13002g	TRM44	dha:DEHA2D13002g;	cytoplasm [GO:0005737]; methyltransferase activity [GO:0008168]; methylation [GO:0032259]; tRNA processing [GO:0008033]	methylation [GO:0032259]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]	methyltransferase activity [GO:0008168]
Q6BMD1	reviewed	Pre-mRNA-splicing factor SLT11	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	359	DEHA2F06490g	SLT11	dha:DEHA2F06490g;	spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	mRNA processing [GO:0006397]; RNA splicing [GO:0008380]	spliceosomal complex [GO:0005681]	RNA binding [GO:0003723]
Q6BRV5	reviewed	PAN2-PAN3 deadenylation complex subunit PAN3 (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 3) (PAN deadenylation complex subunit 3)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	660	DEHA2D13530g	PAN3	dha:DEHA2D13530g;	PAN complex [GO:0031251]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]	mRNA processing [GO:0006397]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]	PAN complex [GO:0031251]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]
Q6BJ75	reviewed	Pre-rRNA-processing protein PNO1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	255	DEHA2G04620g	PNO1	dha:DEHA2G04620g;	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; proteasome assembly [GO:0043248]	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; proteasome assembly [GO:0043248]	cytoplasm [GO:0005737]; nucleolus [GO:0005730]	RNA binding [GO:0003723]; unfolded protein binding [GO:0051082]
B5RUN4	reviewed	Ribosome-releasing factor 2, mitochondrial (RRF2mt) (Elongation factor G 2, mitochondrial) (EF-G2mt) (mEF-G 2)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	860	DEHA2F24662g	MEF2	dha:DEHA2F24662g;	mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; mitochondrial genome maintenance [GO:0000002]; mitochondrial translation [GO:0032543]; regulation of mitochondrial membrane potential [GO:0051881]; ribosome disassembly [GO:0032790]	mitochondrial genome maintenance [GO:0000002]; mitochondrial translation [GO:0032543]; regulation of mitochondrial membrane potential [GO:0051881]; ribosome disassembly [GO:0032790]	mitochondrion [GO:0005739]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]
Q6BW07	reviewed	Regulator of rDNA transcription protein 5	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	355	DEHA2B15246g	RRT5	dha:DEHA2B15246g;	RNA binding [GO:0003723]			RNA binding [GO:0003723]
Q6BP15	reviewed	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89) (Signal peptidase I)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	167	DEHA2E17314g	SEC11	dha:DEHA2E17314g;	integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]; serine-type endopeptidase activity [GO:0004252]; protein targeting to ER [GO:0045047]; signal peptide processing [GO:0006465]	protein targeting to ER [GO:0045047]; signal peptide processing [GO:0006465]	integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]	serine-type endopeptidase activity [GO:0004252]
Q6BHA5	reviewed	Transcription elongation factor SPT4 (Chromatin elongation factor SPT4)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	111	DEHA2G20086g	SPT4	dha:DEHA2G20086g;	DSIF complex [GO:0032044]; kinetochore [GO:0000776]; mating-type region heterochromatin [GO:0031934]; rDNA heterochromatin [GO:0033553]; protein-containing complex binding [GO:0044877]; rDNA binding [GO:0000182]; RNA polymerase II complex binding [GO:0000993]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]; 7-methylguanosine mRNA capping [GO:0006370]; chromatin silencing [GO:0006342]; chromosome segregation [GO:0007059]; intracellular mRNA localization [GO:0008298]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of autophagy [GO:0010507]; negative regulation of transcription elongation by RNA polymerase I [GO:2001208]; positive regulation of transcription elongation from RNA polymerase I promoter [GO:2001209]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; regulation of rRNA processing [GO:2000232]; regulation of transcription-coupled nucleotide-excision repair [GO:0090262]	7-methylguanosine mRNA capping [GO:0006370]; chromatin silencing [GO:0006342]; chromosome segregation [GO:0007059]; intracellular mRNA localization [GO:0008298]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of autophagy [GO:0010507]; negative regulation of transcription elongation by RNA polymerase I [GO:2001208]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription elongation from RNA polymerase I promoter [GO:2001209]; regulation of rRNA processing [GO:2000232]; regulation of transcription-coupled nucleotide-excision repair [GO:0090262]	DSIF complex [GO:0032044]; kinetochore [GO:0000776]; mating-type region heterochromatin [GO:0031934]; rDNA heterochromatin [GO:0033553]	protein-containing complex binding [GO:0044877]; rDNA binding [GO:0000182]; RNA polymerase II complex binding [GO:0000993]; single-stranded RNA binding [GO:0003727]; zinc ion binding [GO:0008270]
Q6BLU9	reviewed	Pre-mRNA-splicing ATP-dependent RNA helicase PRP28 (EC 3.6.4.13)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	580	DEHA2F10538g	PRP28	dha:DEHA2F10538g;	cytoplasm [GO:0005737]; U5 snRNP [GO:0005682]; ATP binding [GO:0005524]; first spliceosomal transesterification activity [GO:0000384]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; mRNA 5'-splice site recognition [GO:0000395]	mRNA 5'-splice site recognition [GO:0000395]	cytoplasm [GO:0005737]; U5 snRNP [GO:0005682]	ATP binding [GO:0005524]; first spliceosomal transesterification activity [GO:0000384]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
